"country","total_revenue","total_orders","total_customers"
"USA",245585,122,13
"Germany",230285,122,11
"Austria",128004,40,2
"Brazil",106926,83,9
"France",81358,77,11
"UK",58971,56,7
"Venezuela",56811,46,4
"Sweden",54495,37,2
"Canada",50196,30,3
"Ireland",49980,19,1
"Belgium",33825,19,2
"Denmark",32661,18,2
"Switzerland",31693,18,2
"Mexico",23582,28,5
"Finland",18810,22,2
"Spain",17983,23,5
"Italy",15770,28,3
"Portugal",11472,13,2
"Argentina",8119,16,3
"Norway",5735,6,1
"Poland",3532,7,1
