"city","total_revenue","total_orders","total_customers"
"Cunewalde",110277,28,1
"Graz",104875,30,1
"Boise",104362,31,1
"London",52825,46,6
"Rio de Janeiro",51957,34,3
"Albuquerque",51098,18,1
"Cork",49980,19,1
"Sao Paulo",40486,31,4
"Brandenburg",30908,14,1
"Bräcke",29568,19,1
"Montréal",28872,13,1
"Seattle",27364,14,1
"München",26657,15,1
"Luleå",24928,18,1
"Charleroi",24089,12,1
"México D.F.",23582,28,5
"Salzburg",23129,10,1
"San Cristóbal",22769,18,1
"Marseille",21963,17,1
"Tsawassen",20802,14,1
"Genève",19344,10,1
"Frankfurt a.M.",19261,15,1
"Strasbourg",18534,11,1
"Eugene",18507,11,1
"Kobenhavn",16817,7,1
"I. de Margarita",16477,12,1
"Barquisimeto",16077,14,1
"Århus",15844,11,1
"Oulu",15649,15,1
"Anchorage",15177,10,1
"Köln",12496,10,1
"Bern",12349,8,1
"Lille",11667,5,1
"Lisboa",11472,13,2
"Sevilla",11446,10,1
"Lander",11442,9,1
"Bruxelles",9736,7,1
"Stuttgart",9588,10,1
"Toulouse",9328,14,1
"Lyon",9182,10,1
"Campinas",8414,9,1
"Buenos Aires",8119,16,3
"Portland",7620,12,2
"Bergamo",7176,10,1
"Reggio Emilia",7048,12,1
"Cowes",6146,10,1
"Resende",6068,9,1
"Stavern",5735,6,1
"Madrid",5700,8,3
"Leipzig",5042,5,1
"Nantes",4788,7,2
"Münster",4778,6,1
"Berlin",4273,6,1
"Aachen",3763,6,1
"Warszawa",3532,7,1
"Mannheim",3240,7,1
"Helsinki",3161,7,1
"San Francisco",3076,4,1
"Elgin",3063,5,1
"Paris",2423,4,2
"Versailles",1992,4,1
"Butte",1947,3,1
"Kirkland",1571,3,1
"Torino",1546,6,1
"Caracas",1489,2,1
"Reims",1480,5,1
"Barcelona",837,5,1
"Vancouver",522,3,1
"Walla Walla",357,2,1
