"supplier_id","company_name","country","total_products_supplied"
7,"Pavlova, Ltd.","Australia",5
8,"Specialty Biscuits, Ltd.","UK",5
12,"Plutzer Lebensmittelgroßmärkte AG","Germany",5
2,"New Orleans Cajun Delights","USA",4
3,"Grandma Kelly's Homestead","USA",3
4,"Tokyo Traders","Japan",3
15,"Norske Meierier","Norway",3
6,"Mayumi's","Japan",3
24,"G'day, Mate","Australia",3
14,"Formaggi Fortini s.r.l.","Italy",3
17,"Svensk Sjöföda AB","Sweden",3
20,"Leka Trading","Singapore",3
16,"Bigfoot Breweries","USA",3
23,"Karkki Oy","Finland",3
11,"Heli Süßwaren GmbH & Co. KG","Germany",3
29,"Forêts d'érables","Canada",2
28,"Gai pâturage","France",2
22,"Zaanse Snoepfabriek","Netherlands",2
25,"Ma Maison","Canada",2
21,"Lyngbysild","Denmark",2
9,"PB Knäckebröd AB","Sweden",2
1,"Exotic Liquids","UK",2
5,"Cooperativa de Quesos 'Las Cabras'","Spain",2
26,"Pasta Buttini s.r.l.","Italy",2
18,"Aux joyeux ecclésiastiques","France",2
19,"New England Seafood Cannery","USA",2
27,"Escargots Nouveaux","France",1
13,"Nord-Ost-Fisch Handelsgesellschaft mbH","Germany",1
10,"Refrescos Americanas LTDA","Brazil",1
