"supplier_id","company_name","country","total_revenue"
18,"Aux joyeux ecclésiastiques","France",153691
12,"Plutzer Lebensmittelgroßmärkte AG","Germany",145372
28,"Gai pâturage","France",117981
7,"Pavlova, Ltd.","Australia",106460
24,"G'day, Mate","Australia",65627
29,"Forêts d'érables","Canada",61588
8,"Specialty Biscuits, Ltd.","UK",59032
26,"Pasta Buttini s.r.l.","Italy",50255
14,"Formaggi Fortini s.r.l.","Italy",48225
15,"Norske Meierier","Norway",43142
20,"Leka Trading","Singapore",42018
3,"Grandma Kelly's Homestead","USA",41953
11,"Heli Süßwaren GmbH & Co. KG","Germany",38653
2,"New Orleans Cajun Delights","USA",31168
4,"Tokyo Traders","Japan",30526
23,"Karkki Oy","Finland",28443
19,"New England Seafood Cannery","USA",26591
5,"Cooperativa de Quesos 'Las Cabras'","Spain",25159
16,"Bigfoot Breweries","USA",22391
25,"Ma Maison","Canada",22155
17,"Svensk Sjöföda AB","Sweden",20144
1,"Exotic Liquids","UK",19400
6,"Mayumi's","Japan",14737
13,"Nord-Ost-Fisch Handelsgesellschaft mbH","Germany",13424
9,"PB Knäckebröd AB","Sweden",11724
21,"Lyngbysild","Denmark",10221
27,"Escargots Nouveaux","France",5882
22,"Zaanse Snoepfabriek","Netherlands",5327
10,"Refrescos Americanas LTDA","Brazil",4504
