"ship_country","total_orders","average_delivery_days","early_delivery","late_delivery"
"Sweden",37,10,34,3
"Ireland",19,10,16,3
"USA",122,9,112,7
"Spain",23,9,22,1
"Belgium",19,9,17,2
"Switzerland",18,9,17,0
"Argentina",16,9,13,1
"Germany",122,8,115,5
"Brazil",83,8,78,3
"France",77,8,72,3
"UK",56,8,52,4
"Venezuela",46,8,41,2
"Austria",40,8,37,1
"Portugal",13,8,12,1
"Poland",7,8,6,1
"Mexico",28,7,27,0
"Italy",28,7,25,2
"Denmark",18,7,17,0
"Norway",6,7,6,0
"Canada",30,5,29,0
"Finland",22,5,21,1
