"year","month_num","month_name","total_revenue"
1996.0,7.0,"July      1996",27862
1996.0,8.0,"August    1996",25485
1996.0,9.0,"September 1996",26381
1996.0,10.0,"October   1996",37516
1996.0,11.0,"November  1996",45600
1996.0,12.0,"December  1996",45240
1997.0,1.0,"January   1997",61258
1997.0,2.0,"February  1997",38484
1997.0,3.0,"March     1997",38547
1997.0,4.0,"April     1997",53033
1997.0,5.0,"May       1997",53781
1997.0,6.0,"June      1997",36363
1997.0,7.0,"July      1997",51021
1997.0,8.0,"August    1997",47288
1997.0,9.0,"September 1997",55629
1997.0,10.0,"October   1997",66749
1997.0,11.0,"November  1997",43534
1997.0,12.0,"December  1997",71398
1998.0,1.0,"January   1998",94222
1998.0,2.0,"February  1998",99415
1998.0,3.0,"March     1998",104854
1998.0,4.0,"April     1998",123799
1998.0,5.0,"May       1998",18334
