"year","monthly_num","month_name","running_total"
1996,7,"July      1996",27862
1996,8,"August    1996",53347
1996,9,"September 1996",79728
1996,10,"October   1996",117244
1996,11,"November  1996",162844
1996,12,"December  1996",208084
1997,1,"January   1997",269342
1997,2,"February  1997",307826
1997,3,"March     1997",346373
1997,4,"April     1997",399406
1997,5,"May       1997",453187
1997,6,"June      1997",489550
1997,7,"July      1997",540571
1997,8,"August    1997",587859
1997,9,"September 1997",643488
1997,10,"October   1997",710237
1997,11,"November  1997",753771
1997,12,"December  1997",825169
1998,1,"January   1998",919391
1998,2,"February  1998",1018806
1998,3,"March     1998",1123660
1998,4,"April     1998",1247459
1998,5,"May       1998",1265793
